,주가,거래량,OBV,기관_순매수누적,외국인_순매수누적,유로,달러,엔화,위안,소비자심리지수,자동차판매,예상종가
20161117_02,241000,186740,-4181486,-191489,2483087,1260.44,1176,1076.23,170.77,93.87,110.53,242500
20161117_03,242500,186740,-4181486,-191489,2483087,1260.44,1176,1076.23,170.77,93.87,110.53,242500
20161118_01,238500,147146,-4328632,-194878,2483906,1250.86,1177,1069.22,170.89,93.81,110.73,241500
20161118_02,241000,147146,-4328632,-194878,2483906,1250.86,1177,1069.22,170.89,93.81,110.73,241500
20161118_03,243500,147146,-4328632,-194878,2483906,1250.86,1177,1069.22,170.89,93.81,110.73,241500
20161121_01,239500,174008,-4154624,-185779,2479473,1253.57,1179,1065.86,170.82,93.75,110.89,239500
20161121_02,242750,174008,-4154624,-185779,2479473,1253.57,1179,1065.86,170.82,93.75,110.89,239500
20161121_03,246000,174008,-4154624,-185779,2479473,1253.57,1179,1065.86,170.82,93.75,110.89,239500
20161122_01,239500,144570,-4299194,-175884,2467762,1248.62,1176.5,1060.1,170.25,93.7,111.01,243500
20161122_02,242250,144570,-4299194,-175884,2467762,1248.62,1176.5,1060.1,170.25,93.7,111.01,243500
20161122_03,245000,144570,-4299194,-175884,2467762,1248.62,1176.5,1060.1,170.25,93.7,111.01,243500
20161123_01,240500,244578,-4054616,-155453,2456891,1248.5,1176.5,1057.53,169.57,93.64,111.08,242000
20161123_02,245500,244578,-4054616,-155453,2456891,1248.5,1176.5,1057.53,169.57,93.64,111.08,242000
20161123_03,250500,244578,-4054616,-155453,2456891,1248.5,1176.5,1057.53,169.57,93.64,111.08,242000
20161124_01,247000,161960,-3892656,-140118,2449503,1246.84,1181,1043.7,169.98,93.59,111.1,248000
20161124_02,250500,161960,-3892656,-140118,2449503,1246.84,1181,1043.7,169.98,93.59,111.1,248000
20161124_03,254000,161960,-3892656,-140118,2449503,1246.84,1181,1043.7,169.98,93.59,111.1,248000
20161125_01,251000,106043,-3786613,-133093,2447148,1246.68,1177.5,1041.8,169.45,93.53,111.05,250000
20161125_02,252750,106043,-3786613,-133093,2447148,1246.68,1177.5,1041.8,169.45,93.53,111.05,250000
20161125_03,254500,106043,-3786613,-133093,2447148,1246.68,1177.5,1041.8,169.45,93.53,111.05,250000
20161128_01,249500,111123,-3897736,-132424,2446800,1244.38,1175.5,1042.71,169.43,93.48,110.94,251500
20161128_02,251500,111123,-3897736,-132424,2446800,1244.38,1175.5,1042.71,169.43,93.48,110.94,251500
20161128_03,253500,111123,-3897736,-132424,2446800,1244.38,1175.5,1042.71,169.43,93.48,110.94,251500
20161129_01,247000,126312,-4024048,-125297,2437691,1241.92,1173.5,1039.28,169.52,93.43,110.78,251500
20161129_02,250000,126312,-4024048,-125297,2437691,1241.92,1173.5,1039.28,169.52,93.43,110.78,251500
20161129_03,253000,126312,-4024048,-125297,2437691,1241.92,1173.5,1039.28,169.52,93.43,110.78,251500
20161130_01,245000,176792,-3847256,-127772,2438999,1247.54,1173,1034.71,169.92,93.37,110.57,247000
20161130_02,248000,176792,-3847256,-127772,2438999,1247.54,1173,1034.71,169.92,93.37,110.57,247000
20161130_03,251000,176792,-3847256,-127772,2438999,1247.54,1173,1034.71,169.92,93.37,110.57,247000
20161201_01,249500,170745,-3676511,-124706,2441545,1243.66,1170.5,1023.48,169.7,93.32,110.32,249000
20161201_02,252750,170745,-3676511,-124706,2441545,1243.66,1170.5,1023.48,169.7,93.32,110.32,249000
20161201_03,256000,170745,-3676511,-124706,2441545,1243.66,1170.5,1023.48,169.7,93.32,110.32,249000
20161202_01,248000,100460,-3776971,-123863,2438366,1247.13,1173,1028.99,170.58,93.27,110.03,254000
20161202_02,252500,100460,-3776971,-123863,2438366,1247.13,1173,1028.99,170.58,93.27,110.03,254000
20161202_03,257000,100460,-3776971,-123863,2438366,1247.13,1173,1028.99,170.58,93.27,110.03,254000
20161205_01,246500,82502,-3859473,-116802,2431659,1248.49,1173.5,1027.99,170.63,93.21,109.72,251000
20161205_02,249750,82502,-3859473,-116802,2431659,1248.49,1173.5,1027.99,170.63,93.21,109.72,251000
20161205_03,253000,82502,-3859473,-116802,2431659,1248.49,1173.5,1027.99,170.63,93.21,109.72,251000
20161206_01,249000,148953,-3710520,-106310,2424952,1257.07,1171,1028.09,170.27,93.16,109.39,250500
20161206_02,252250,148953,-3710520,-106310,2424952,1257.07,1171,1028.09,170.27,93.16,109.39,250500
20161206_03,255500,148953,-3710520,-106310,2424952,1257.07,1171,1028.09,170.27,93.16,109.39,250500
20161207_01,250500,122216,-3832736,-103903,2420606,1248.65,1163,1020.4,168.48,93.12,109.04,255000
20161207_02,253250,122216,-3832736,-103903,2420606,1248.65,1163,1020.4,168.48,93.12,109.04,255000
20161207_03,256000,122216,-3832736,-103903,2420606,1248.65,1163,1020.4,168.48,93.12,109.04,255000
20161208_01,252000,232958,-3599778,-80627,2407249,1249.79,1162,1019.66,168.35,93.07,108.69,250500
20161208_02,256250,232958,-3599778,-80627,2407249,1249.79,1162,1019.66,168.35,93.07,108.69,250500
20161208_03,260500,232958,-3599778,-80627,2407249,1249.79,1162,1019.66,168.35,93.07,108.69,250500
20161209_01,258500,168881,-3768659,-67434,2395615,1238.39,1173,1018.72,169.05,93.02,108.33,260500
20161209_02,261250,168881,-3768659,-67434,2395615,1238.39,1173,1018.72,169.05,93.02,108.33,260500
20161209_03,264000,168881,-3768659,-67434,2395615,1238.39,1173,1018.72,169.05,93.02,108.33,260500
20161212_01,259500,95088,-3673571,-63368,2392629,1239.03,1169.5,1009.58,168.59,92.98,107.98,259000
20161212_02,261750,95088,-3673571,-63368,2392629,1239.03,1169.5,1009.58,168.59,92.98,107.98,259000
20161212_03,264000,95088,-3673571,-63368,2392629,1239.03,1169.5,1009.58,168.59,92.98,107.98,259000
20161213_01,260000,85908,-3587663,-56898,2388623,1238.36,1167,1012.1,168.46,92.95,107.65,261500
20161213_02,262250,85908,-3587663,-56898,2388623,1238.36,1167,1012.1,168.46,92.95,107.65,261500
20161213_03,264500,85908,-3587663,-56898,2388623,1238.36,1167,1012.1,168.46,92.95,107.65,261500
20161214_01,262000,102725,-3484938,-56699,2392410,1244.45,1168,1016.58,169.08,92.91,107.33,262000
20161214_02,264000,102725,-3484938,-56699,2392410,1244.45,1168,1016.58,169.08,92.91,107.33,262000
20161214_03,266000,102725,-3484938,-56699,2392410,1244.45,1168,1016.58,169.08,92.91,107.33,262000
20161215_01,260000,107251,-3592189,-56316,2392332,1234.36,1185,1002.2,170.81,92.88,107.04,264500
20161215_02,262750,107251,-3592189,-56316,2392332,1234.36,1185,1002.2,170.81,92.88,107.04,264500
20161215_03,265500,107251,-3592189,-56316,2392332,1234.36,1185,1002.2,170.81,92.88,107.04,264500
20161216_01,255000,186397,-3778586,-56965,2389202,1238.69,1187,1004.27,170.74,92.86,106.78,263500
20161216_02,259000,186397,-3778586,-56965,2389202,1238.69,1187,1004.27,170.74,92.86,106.78,263500
20161216_03,263000,186397,-3778586,-56965,2389202,1238.69,1187,1004.27,170.74,92.86,106.78,263500
20161219_01,256500,88795,-3867381,-53431,2386631,1240.66,1189,1014.29,171.23,92.83,106.56,258000
20161219_02,259000,88795,-3867381,-53431,2386631,1240.66,1189,1014.29,171.23,92.83,106.56,258000
20161219_03,261500,88795,-3867381,-53431,2386631,1240.66,1189,1014.29,171.23,92.83,106.56,258000
20161220_01,257000,80345,-3787036,-53202,2387759,1238.4,1196,1012.32,172.06,92.82,106.39,257500
20161220_02,259000,80345,-3787036,-53202,2387759,1238.4,1196,1012.32,172.06,92.82,106.39,257500
20161220_03,261000,80345,-3787036,-53202,2387759,1238.4,1196,1012.32,172.06,92.82,106.39,257500
20161221_01,260500,156799,-3630237,-59742,2400612,1245.89,1195.5,1019.49,172.58,92.81,106.27,259000
20161221_02,263250,156799,-3630237,-59742,2400612,1245.89,1195.5,1019.49,172.58,92.81,106.27,259000
20161221_03,266000,156799,-3630237,-59742,2400612,1245.89,1195.5,1019.49,172.58,92.81,106.27,259000
20161222_01,262000,182733,-3447504,-52170,2408863,1258.46,1204.5,1023.49,173.4,92.8,106.21,265000
20161222_02,266250,182733,-3447504,-52170,2408863,1258.46,1204.5,1023.49,173.4,92.8,106.21,265000
20161222_03,270500,182733,-3447504,-52170,2408863,1258.46,1204.5,1023.49,173.4,92.8,106.21,265000
20161223_01,265500,101992,-3549496,-45931,2405934,1259.47,1205,1027.19,173.32,92.8,106.2,267000
20161223_02,267500,101992,-3549496,-45931,2405934,1259.47,1205,1027.19,173.32,92.8,106.2,267000
20161223_03,269500,101992,-3549496,-45931,2405934,1259.47,1205,1027.19,173.32,92.8,106.2,267000
20161226_01,264000,71134,-3620630,-43304,2404372,1255.33,1201.5,1026.53,172.81,92.81,106.2,266500
20161226_02,267000,71134,-3620630,-43304,2404372,1255.33,1201.5,1026.53,172.81,92.81,106.2,266500
20161226_03,270000,71134,-3620630,-43304,2404372,1255.33,1201.5,1026.53,172.81,92.81,106.2,266500
20161227_01,264000,77194,-3543436,-41305,2408304,1260.17,1207,1028.11,173.51,92.83,106.2,264000
20161227_02,265750,77194,-3543436,-41305,2408304,1260.17,1207,1028.11,173.51,92.83,106.2,264000
20161227_03,267500,77194,-3543436,-41305,2408304,1260.17,1207,1028.11,173.51,92.83,106.2,264000
20161228_01,258500,195921,-3739357,-42478,2400693,1261.06,1212.5,1030.38,173.9,92.85,106.2,267500
20161228_02,261250,195921,-3739357,-42478,2400693,1261.06,1212.5,1030.38,173.9,92.85,106.2,267500
20161228_03,264000,195921,-3739357,-42478,2400693,1261.06,1212.5,1030.38,173.9,92.85,106.2,267500
20161229_01,258000,148242,-3591115,-45262,2400439,1265.42,1210,1037.38,173.51,92.88,106.2,259000
20161229_02,261000,148242,-3591115,-45262,2400439,1265.42,1210,1037.38,173.51,92.88,106.2,259000
20161229_03,264000,148242,-3591115,-45262,2400439,1265.42,1210,1037.38,173.51,92.88,106.2,259000
20170102_01,261500,123659,-3467456,-33085,2397795,1266.51,1210,1030.97,173.44,92.92,106.2,264000
20170102_02,267750,123659,-3467456,-33085,2397795,1266.51,1210,1030.97,173.44,92.92,106.2,264000
20170102_03,274000,123659,-3467456,-33085,2397795,1266.51,1210,1030.97,173.44,92.92,106.2,264000
20170103_01,269500,152387,-3315069,-24852,2393052,1254.07,1207,1021.45,173.21,92.96,106.2,271500
20170103_02,273250,152387,-3315069,-24852,2393052,1254.07,1207,1021.45,173.21,92.96,106.2,271500
20170103_03,277000,152387,-3315069,-24852,2393052,1254.07,1207,1021.45,173.21,92.96,106.2,271500
20170104_01,273000,206423,-3108646,-15546,2386833,1255.57,1203,1023.57,174.29,93.01,106.2,275500
20170104_02,276750,206423,-3108646,-15546,2386833,1255.57,1203,1023.57,174.29,93.01,106.2,275500
20170104_03,280500,206423,-3108646,-15546,2386833,1255.57,1203,1023.57,174.29,93.01,106.2,275500
20170105_01,272500,121425,-2987221,-10902,2387678,1250.75,1190,1021.24,174.13,93.06,106.2,276000
20170105_02,276750,121425,-2987221,-10902,2387678,1250.75,1190,1021.24,174.13,93.06,106.2,276000
20170105_03,281000,121425,-2987221,-10902,2387678,1250.75,1190,1021.24,174.13,93.06,106.2,276000
20170106_01,272000,101234,-3088455,-16641,2389599,1262.85,1196.5,1026.29,175.06,93.12,106.2,280500
20170106_02,275500,101234,-3088455,-16641,2389599,1262.85,1196.5,1026.29,175.06,93.12,106.2,280500
20170106_03,279000,101234,-3088455,-16641,2389599,1262.85,1196.5,1026.29,175.06,93.12,106.2,280500
20170109_01,272000,121475,-2966980,-22345,2397323,1267.5,1204.5,1032.09,175.16,93.18,106.2,272500
20170109_02,274500,121475,-2966980,-22345,2397323,1267.5,1204.5,1032.09,175.16,93.18,106.2,272500
20170109_03,277000,121475,-2966980,-22345,2397323,1267.5,1204.5,1032.09,175.16,93.18,106.2,272500
20170110_01,270500,95607,-2871373,-26568,2402648,1268.81,1200.5,1033.27,174.02,93.24,106.2,275000
20170110_02,273750,95607,-2871373,-26568,2402648,1268.81,1200.5,1033.27,174.02,93.24,106.2,275000
20170110_03,277000,95607,-2871373,-26568,2402648,1268.81,1200.5,1033.27,174.02,93.24,106.2,275000
